データ 列 欠損 値 パーセンタイル 埋める	ds.fillna(ds.median())
黒い バツ マーカー リスト データ 列 散布 図 描画 する	plt.plot(xdata, ydata, marker='x', c='k')
オプション グラフ 色 ダークターコイズ する	color = 'darkturquoise'
折れ線 グラフ 描画 し その 色 ダーク オレンジ 設定 する	plt.plot(データ列, データ列2, color='darkorange')
ヒストグラム 描画 し 色 ダークオーキッド 設定 する	plt.hist(データ列, color='darkorchid')
折れ線 グラフ スタイル 一 点 鎖線 設定 する	plt.plot(データ列, データ列2, linestyle='dashbot')
データ フレーム 先頭 行 抽出 する	df.head(n)
データ フレーム 中 列 ビン 数 用い ビン 分割 し ラベル つける	pd.cut(df[col], n, labels=names)
赤色 右 三 角 マーカー データ 列 イテラブル 散布 図 描く	plt.plot(xdata, ydata, marker='>', c='r')
リスト リスト 加え 拡張 する	aList.extend(aList2)
線 グラフ 色 アリスブルー 設定 する	plt.plot(データ列, データ列2, color='aliceblue')
配列 列方向 連結 する	np.concatenate([aArray, aArray2], axis=0)
赤い ポイント マーカー 折れ線 グラフ 描画 する	plt.plot(データ列, データ列2, marker='.', markerfacecolor='r')
集合 イミュータブル 変換 する	frozenset(aSet)
配列 行 ごと 最大 値	np.max(aArray, axis=1)
プラットホーム ウィンドウズ	sys.platform.startswith('win32')
空 両端 キュー	collections.deque()
辞書 項目 名 値 エラー なく 参照 する	aDict.get(key, None)
データ 列 リスト 散布 図 描画 し マーカー 設定 する	plt.plot(xdata, ydata, marker='^')
折れ線 グラフ 右 三 角 印 赤く する	plt.plot(データ列, データ列2, marker='>', markerfacecolor='r')
配列 リスト 散布 図 カラー コード 丸 マーカー 描画 する	plt.plot(xdata, ydata, marker='o', c=rgb)
オブジェクト メモリビュー	memoryview(obj)
折れ線 グラフ 描画 し その 色 ダーク ブルー 設定 する	plt.plot(データ列, データ列2, color='darkblue')
日付 データ 木曜日 どう 調べる	aDate.weekday() == 3
文字 列 先頭 余分 な 空白 取り除く	s.lstrip()
実数 数 除する	x / y
データ フレーム 重複 する 行 残さ ず 消す	df.drop_duplicates(keep=False)
カウンタ 同士 交わり 求める	aCounter & aCounter2
多い 順番 カウンタ 列挙 する	aCounter.most_common()
リスト ヒストグラム 使っ 可視 化 する	plt.hist(aList)
二つ 文字 列 タブ 区切っ プリント する	print(value, value2, sep='\t')
リスト 配列 散布 図 描画 する	plt.scatter(xdata, ydata)
カラー コード 星 マーカー 用い 散布 図 描画 する	plt.plot(xdata, ydata, marker='*', c=rgb)
黒い 上 三 角 マーカー 散布 図 描画 する	plt.plot(xdata, ydata, marker='^', c='k')
データ フレーム 名前 リスト 指定 さ れ た 列 削除 する	df.drop(columns, axis=1)
プロット 色 全般 的 色 差別 なく する	sns.set(pallete='colorblind')
データ 列 最大 値 埋める	ds.fillna(ds.max())
二つ 辞書 階層 化 する	collections.ChainMap(aDict, aDict2)
整数 リスト どれ	n in aList
リスト 数列 色 差別 ない グラフ 描画 し その 線 幅 変更 する	plt.plot(xdata, ydata, linestyle='colorblind', color='r')
リスト イテラブル ペア リスト 変換 する	itertools.zip_longest(iterable, iterable2)
データ フレーム リスト カラム 位 丸め 整数 型 する	df[aList].round(-1).astype(int)
ベクトル 次元 数	aArray.ndim
分子 分母 有理数 作る	fractions.Fraction(numerator=n, denominator=m)
大きい テスト する	n > n2
リスト 文字 列 リスト 変換 し 空白 連結 する	' '.join(map(str, iterable))
データ 列 データ 列 破線 描画 し その 色 暗い 指定 する	plt.plot(xdata, ydata, linestyle='dash', color='dark')
辞書 チェーン マップ 変換 する	collections.ChainMap(aDict)
ヒストグラム 描画 し 色 マゼンタ 設定 する	plt.hist(データ列, color='magenta')
カラム 各 データ 値 出現 回数 求める	df[col].value_counts()
リスト リスト 破線 グラフ 描画 し その 色 淡い 設定 する	plt.plot(xdata, ydata, linestyle='dash', color='muted')
数列 リスト 明るい グラフ 描画 し 線 幅 する	plt.plot(xdata, ydata, linestyle='bright', color='r')
グラフ パレット 全般 的 淡く する	sns.set(pallete='muted')
折れ線 グラフ 描画 し その 色 ライト サーモン 設定 する	plt.plot(データ列, データ列2, color='lightsalmon')
折れ線 グラフ 三角 印 線 幅 変更 する	plt.plot(データ列, データ列2, marker='^', markeredgewidth=n)
文字 列 改行 分割 し 文字 列 リスト 変換 する	s.splitlines()
文字 列 先頭 使う	s[0]
文字 列 全体 大文字 小文字 無視 し 正規 表現 マッチ さ せる	re.fullmatch(pattern, s, flags=re.IGNORECASE)
ヒストグラム 色 スカイ ブルー 設定 する	plt.hist(データ列, color='skyblue')
折れ線 グラフ 描画 し 色 カデット ブルー 設定 する	plt.plot(データ列, データ列2, color='cadetblue')
ヒストグラム 描画 し その 色 ライト コーラル する	plt.hist(データ列, color='lightcoral')
行列 間 要素 ごと 最大公約数	np.gcd(aArray, aArray2)
折れ線 グラフ 色 ホワイト 指定 する	plt.plot(データ列, データ列2, color='white')
オプション タブ 区切り 使用 する	sep = '\t'
折れ線 グラフ 色 ライトグリーン 設定 する	plt.plot(データ列, データ列2, color='lightgreen')
ヒストグラム 色 オレンジ 設定 する	plt.hist(データ列, color='orange')
小さい 順 データ フレーム 列 列 用い ソート し 更新 する	df.sort_values(by=['A', 'B'], ascending=True, inplace=True)
データ フレーム 列 要約 統計 量	df[col].describe()
オプション ディープスカイブルー グラフ 色 指定 する	color = 'deepskyblue'
色 差別 ない 色 折れ線 グラフ 描画 し その 線 幅 設定 する	plt.plot(xdata, ydata, linewidth=n, color='colorblind')
グラフ 描画 淡い 色 使う	sns.set(pallete='muted')
ミディアムオーキッド 色 ヒストグラム 描画 する	plt.hist(データ列, color='mediumorchid')
真紅 色 ヒストグラム 描画 する	plt.hist(データ列, color='crimson')
散布 図 赤色 大 バツ マーカー 用いる	plt.plot(xdata, ydata, marker='X', c='r')
グラフ カラー パレット 淡く する	sns.set(pallete='muted')
もしくは 調べる	x == 1 or x == 2
イテラブル 重複 取り除く	set(iterable)
ファイル 名 ファイル 調べる	filename.endswith('.csv')
オプション シエナ 色 変更 する	color = 'sienna'
文字 列 平仮名 調べる	('ぁ' <= ch <= 'ん')
実行 結果 黄色 する	f'\033[33m{value}\033[0m'
データ フレーム 列 と列 ドロップ する	df.drop([column, column2], axis=1)
ヒストグラム 色 ミディアムシアグリーン 設定 する	plt.hist(データ列, color='mediumseagreen')
オプション グラフ 色 青 緑 設定 する	color = 'teal'
ヒストグラム 描画 し その 色 ダークターコイズ 指定 する	plt.hist(データ列, color='darkturquoise')
オプション 文字 コード 付き セット する	encoding = 'utf_8_sig'
パステル 調 折れ線 グラフ 色 赤色 設定 する	plt.plot(xdata, ydata, linestyle='pastel', color='r')
カラー コード 棒グラフ 色 設定 する	plt.bar(ラベル列, データ列, color=rgb)
折れ線 ラベル 付ける	plt.plot(xdata, ydata, label=untitled)
折れ線 グラフ 透明 度 設定 する	plt.plot(xdata, ydata, alpha=alpha)
二つ 関係 真 部分 集合 調べる	aSet < aSet2
フォーマット データ 列 日付 データ 変換 する	pd.to_datetime(ds, format=fmt)
文字 列 示す 文字 コード 既存 ファイル 追加 できる よう オープン する	open(filepath, mode='a', encoding=s)
文字 列 部分 文字 列 区切っ 文字 列 リスト する	s.split(sub)
カウンタ シーケンス カウント し 引く	aCounter.subtract(iterable)
折れ線 グラフ 描画 し 色 淡い ピンク色 設定 する	plt.plot(データ列, データ列2, color='lightpink')
文字 列 空白 区切っ 文字 列 リスト 変換 する	s.split()
折れ線 グラフ 色 グリーン 設定 する	plt.plot(データ列, データ列2, color='green')
赤い 淡い 描画 する	plt.plot(xdata, ydata, linestyle='muted', color='r')
オプション グラフ 色 チョコレート 設定 する	color = 'chocolate'
オプション パールバイオレットレッド 色 使う	color = 'palevioletred'
フォーマット データ フレーム 日付 データ 変換 する	pd.to_datetime(df[col], format=fmt)
ゲインズボロ 色 線 グラフ 描画 する	plt.plot(データ列, データ列2, color='gainsboro')
行列 同じ 大き さ 空 行列 作成 する	np.empty_like(aArray)
二つ 文字 列 文字 列 区切っ プリント する	print(value, value2, sep=s)
淡い グラフ 線 幅 設定 する	plt.plot(xdata, ydata, linestyle='muted', linewidth=n)
データ フレーム ランダム 一行 取り出す	df.sample()
非 小文字 文字 列 中 含ま れる	any(not c.islower() for c in s)
ヒストグラム 描画 し その 色 ホット ピンク 設定 する	plt.hist(データ列, color='hotpink')
文字 列 全て 英数字 確認 する	s.isalnum()
折れ線 グラフ 描画 し その 色 ライト コーラル 設定 する	plt.plot(データ列, データ列2, color='lightcoral')
リスト 配列 散布 図 黒い 左 三 角 マーカー 描く	plt.plot(xdata, ydata, marker='<', c='k')
データ フレーム 二つ 列 値 グループ 化 する	df.groupby(['A', 'B'])
深紅 色 線 グラフ 描画 する	plt.plot(データ列, データ列2, color='crimson')
モジュール 検索 する パス	sys.path
線 グラフ 描画 し 色 サーモン セット する	plt.plot(データ列, データ列2, color='salmon')
ヒストグラム 色 ミディアムブルー 設定 する	plt.hist(データ列, color='mediumblue')
オプション グラフ 色 ダークシアグリーン 変更 する	color = 'darkseagreen'
ミディアムパープル 色 ヒストグラム 描画 する	plt.hist(データ列, color='mediumpurple')
ふたつ 関係 真 サブ セット どう	aSet < aSet2
文字 列 走査 し 正規 表現 大文字 小文字 無視 し マッチ する 見る	re.search(pattern, s, flags=re.IGNORECASE)
データ フレーム 列 各 データ 値 出現 回数 求める	df[col].value_counts()
データ フレーム 中 列 と列 重複 あれ 削除 する	df.drop_duplicates(subset=[column, column2])
プロット 描画 パステル 調 色 用いる	sns.set(pallete='pastel')
赤い 大 バツ マーカー リスト イテラブル 散布 図 描画 する	plt.plot(xdata, ydata, marker='X', c='r')
データ 列 十 位 四捨五入 する	ds.round(-1)
データ 列 値 変更 する	ds.replace(ValueMap)
標準 入力 行 読み込む	sys.stdin.readline()
折れ線 グラフ 描画 し その 色 ミディアムパープル 設定 する	plt.plot(データ列, データ列2, color='mediumpurple')
オプション 区切り 使わ ない	sep = ''
データ フレーム 読む	pd.read_csv(filename, sep='\t', encoding='shift_jis')
データ フレーム カラム 未 入力 値 最小 値 置換 する	df[col].fillna(df[col].min())
文字 列 部分 文字 列 終了 する 調べる	s.endswith(sub)
リスト リスト 破線 グラフ 描画 し その 色 パステル 調 の 設定 する	plt.plot(xdata, ydata, linestyle='dash', color='pastel')
ヒストグラム 色 ライト シアン 変更 する	plt.hist(データ列, color='lightcyan')
データ 列 未 入力 値 平均 値 埋める	ds.fillna(ds.mean())
データ フレーム 各 次元 大き さ 調べる	df.shape
列 累積 し た 列	itertools.accumulate(iterable, operator.mul)
グラフ 中 日本語 フォント 利用 可能 する	sns.set(font='IPAexGothic')
リスト 一つ 調べる	n in aList
文字 列 文字 列 リスト いづれ 調べる	s in aStringList
等しい	n == n2
折れ線 グラフ 描画 し 色 ダークオーキッド 指定 する	plt.plot(データ列, データ列2, color='darkorchid')
データ フレーム カラム 空文字 ドロップ する	df[col].replace('', np.nan).dropna()
オブジェクト フィールド 存在 する 確認 する	hasattr(obj, プロパティ名)
オプション グラフ 色 ミッドナイト ブルー 指定 する	color = 'midnightblue'
オプション シャルトリューズ 色 使う	color = 'chartreuse'
複数 行 対応 パターン 文字 列 先頭 マッチ さ せる	re.match(pattern, s, flags=re.MULTILINE)
データ フレーム 形式 ファイル 読み込む	pd.read_csv(filename, sep='\t', encoding='utf-8')
プログラム 実行 異常 終了 する	sys.exit(1)
小数点 数	math.cos(x)
ダークゴールデンロッド ヒストグラム 色 設定 する	plt.hist(データ列, color='darkgoldenrod')
カーキ 色 ヒストグラム 描画 する	plt.hist(データ列, color='khaki')
ヒストグラム 色 ダーク グレー 変更 する	plt.hist(データ列, color='darkgray')
データ 列 未 入力 値 最大 値 設定 する	ds.fillna(ds.max())
データ 列 欠損 値 中央 値 埋める	ds.fillna(ds.median())
真 なら ない シーケンス 要素	itertools.dropwhile(predicateFunc, iterable)
折れ線 グラフ 描画 し その 色 ライト ブルー 設定 する	plt.plot(データ列, データ列2, color='lightblue')
オプション グラフ 色 タン 設定 する	color = 'tan'
日付 データ 火曜日 調べる	aDate.weekday() == 1
折れ線 グラフ 左 三 角 マーカー 黄色く する	plt.plot(データ列, データ列2, marker='<', markerfacecolor='y')
文字 列 両端 空白 取り除く	s.strip()
カウンタ 全数	aCounter.total()
ヒストグラム 描画 し その 色 ライム グリーン 変更 する	plt.hist(データ列, color='limegreen')
既存 配列 ベース し 全 要素 初期 値 配列 作成 する	np.full_like(aArray, 初期値)
オプション トマト 使用 する	color = 'tomato'
文字 列 赤色 プリント できる 文字 列 変換 する	f'\033[31m{value}\033[0m'
二つ データ フレーム 縦 一つ する	pd.concat([df, df2], axis=0)
二つ 変数 順に プリント する	print(value, value2)
データ フレーム 型 取り出す	df.select_dtypes(ty)
データ 列 中央 値 ビンニング する	pd.qcut(ds, 2)
コマンド 引数 列挙 する	sys.argv[1:]
リスト 末尾 要素 取り除く	aList.pop()
明るい グラフ 数列 データ 列 プロット し その 線 幅 設定 する	plt.plot(xdata, ydata, linestyle='bright', linewidth=n)
オプション 線 種 破線 変更 する	linestyle = 'dashed'
三 ビット 整数 型 ゼロ 埋め さ れ た 配列 作る	np.zeros(要素数, dtype=np.int16)
データ 列 データ 列 散布 図 描画 し 右 三 角 マーカー 色 カラー コード 設定 する	plt.plot(xdata, ydata, marker='>', c=rgb)
倍数	n % 5 == 0
オプション グラフ 色 ミディアムシアグリーン 設定 する	color = 'mediumseagreen'
和	n + n2
キュー 空	len(deq) == 0
データ フレーム 列 位 四捨五入 する	df[col].round(-2)
文字 列 黄色 プリント できる 文字 列 変換 する	f'\033[33m{value}\033[0m'
折れ線 グラフ 描画 し 印 印 する	plt.plot(データ列, データ列2, marker='^')
ヒストグラム 描画 し その 色 ダーク オリーブ グリーン 設定 する	plt.hist(データ列, color='darkolivegreen')
重複 し た 行 抽出 する	df[df.duplicated(keep=False)]
文字 列 タプル 要素 で ない 調べる	element not in aTuple
ヒストグラム 色 パールゴールデンロッド 変更 する	plt.hist(データ列, color='palegoldenrod')
散布 図 赤い 下 三角 マーカー 描画 する	plt.plot(xdata, ydata, marker='v', c='r')
カウンタ 最 頻出 な 値	aCounter.most_common()[0]
文字 列 全て 大文字	s.isupper()
スノー 色 線 グラフ 描画 する	plt.plot(データ列, データ列2, color='snow')
ヒストグラム 描画 し その 色 イエロー グリーン 設定 する	plt.hist(データ列, color='yellowgreen')
データ 列 何 曜日 見る	ds.dt.weekday_name
値 太字 プリント する	print(f'\033[1m{value}\033[0m')
集合 全て 要素 取り除く	aSet.clear()
ヒストグラム 描画 し 色 ライトグリーン 指定 する	plt.hist(データ列, color='lightseagreen')
改行 文字 列 区切り 文字 列 リスト 変換 する	s.splitlines()
最大 長 双方向 キュー 作る	collections.deque(maxlen=n)
データ フレーム 列 正規 表現 まとめ 置き換える	df[col].replace(pattern, repl, regex=True)
複数 カラム 散布 図 一 度 描画 する	sns.pairplot(df[[column, column2, column3]])
文字 列 正規 表現 マッチ さ せる	re.match(pattern, s)
折れ線 グラフ 赤い 三角 マーカー 描画 する	plt.plot(データ列, データ列2, marker='^', markerfacecolor='r')
折れ線 グラフ 印 大 バツ する	plt.plot(データ列, データ列2, marker='X')
折れ線 グラフ 描画 し その 色 コーンズシルク 指定 する	plt.plot(データ列, データ列2, color='cornsilk')
ヒストグラム 描画 し 色 ダーク サーモン する	plt.hist(データ列, color='darksalmon')
日付 時刻 データ 時間 減算 する	aDatetime - datetime.timedelta(hours=n)
自分 自身 モジュール	sys.modules[__name__]
文字 列 開始 位置 終了 位置 範囲 部分 文字 列 含ま れる 調べる	s.find(sub, start, end) != -1
文字 列 中 大文字 小文字 する	s.lower()
線 グラフ 描画 し 色 オリベドラブ 設定 する	plt.plot(データ列, データ列2, color='olivedrab')
折れ線 グラフ 色 パープル 変更 する	plt.plot(データ列, データ列2, color='purple')
ファイル 存在 する	os.path.exists(filepath)
データ フレーム カラム 何 分 確認 する	df[col].dt.minute
等しい 値	None
小数点 数 二 進 対数	math.log2(x)
数列 座標 数列 横 軸 指定 し 折れ線 グラフ プロット する	plt.plot(xdata, ydata)
実数 乗 求める	x ** n
実数 斜辺	math.hypot(x, y)
リスト リスト 濃い グラフ 描画 し その 線 幅 設定 する	plt.plot(xdata, ydata, linestyle='deep', linewidth=n)
データ フレーム カラム 分 位 数	df[col].quantile(percent/100)
データ 列 折れ線 グラフ 描画 し 印 四角 する	plt.plot(データ列, データ列2, marker='s')
折れ線 グラフ 描画 し その 色 トマト 変更 する	plt.plot(データ列, データ列2, color='tomato')
集合 更新 不能 な 集合 変換 する	frozenset(aSet)
ヒストグラム 描画 し その 色 ミディアムブルー する	plt.hist(データ列, color='mediumblue')
ファイル ファイル 名 調べる	filename.endswith('.json')
オプション グラフ 色 インディゴ 設定 する	color = 'indigo'
第 引数 ファイル 名前	sys.argv[1]
折れ線 グラフ 描画 し その 色 レベッカパープル 設定 する	plt.plot(データ列, データ列2, color='rebeccapurple')
タイム スタンプ 使う	import time
個 整数 リスト	list(range(n))
ヒストグラム 描画 し その 色 サンディーブラウン 設定 する	plt.hist(データ列, color='sandybrown')
要素 辞書 値 含ま れ い ない	element not in aDict.values()
データ フレーム 各 グループ 標準 偏差	df.groupby(column).std()
線 グラフ 描画 し 色 ディムグレー 設定 する	plt.plot(データ列, データ列2, color='dimgray')
折れ線 グラフ 描画 し 色 ダーク グレー 指定 する	plt.plot(データ列, データ列2, color='darkgray')
折れ線 グラフ 色 タン セット する	plt.plot(データ列, データ列2, color='tan')
文字 列 中 ケース 無視 し パターン 全て マッチ 求める	re.findall(pattern, s, flags=re.IGNORECASE)
オプション 文字 コード 使う	encoding = text
データ フレーム 中 存在 する 日付 データ 文字 列 合計 数える	df.isin([value, value2]).sum()
データ フレーム 中 列 と列 重複 あれ 取り除く	df.drop_duplicates(subset=column)
エポック 秒 データ 列 日付 データ 変換 する	pd.to_datetime(ds, unit='s', utc=True)
タプル 最後 番目 以前 部分 取り出す	aTuple[:-n]
変数 マイナス 無限 大 近づく 場合 数式 極限 値 算出 する	sympy.limit(e, z, -oo)
ファイル バイナリ 用 オープン し する	f = open(filepath, mode='rb')
文字 列 末尾 タブ 消す	s.rstrip('\t')
文字 列 右側 空白 取り除く	s.rstrip(' ')
タプル 反転 する	reversed(aTuple)
プロット 凡例 位置 指定 する	plt.legend(loc=(x, y))
明るい 折れ線 線 幅 変更 する	plt.plot(xdata, ydata, linestyle='bright', linewidth=n)
データ 列 中 存在 する 文字 列 合計 求める	ds.isin([value]).sum()
データ フレーム 列 並べ 先頭 来る よう する	df.sort_values(by='A', na_position='first')
折れ線 グラフ マーカー 印 する	plt.plot(データ列, データ列2, marker='v')
セット エラー なく 要素 取り除く	aSet.discard(element)
ヒストグラム 描画 し 色 ダークスラテグレー 設定 する	plt.hist(データ列, color='darkslategray')
イテラブル 新しい カウンタ 作成 する	collections.Counter(iterable)
オプション 暗い 赤色 使う	color = 'darkred'
オプション スレート ブルー グラフ 色 設定 する	color = 'slateblue'
文字 列 白色 プリント する	print(f'\033[37m{value}\033[0m')
データ フレーム カラム 何 曜日 見る	df[col].dt.weekday_name
グラフ パステル 調 する	sns.set(pallete='pastel')
ヒストグラム 色 ダーク グレー 設定 する	plt.hist(データ列, color='darkgray')
データ フレーム リスト 列 欠損 値 最小 値 変更 する	df[aList].fillna(df[aList].min())
リスト 横 軸 指定 し 折れ線 グラフ 描画 する	plt.plot(range(len(xdata)), xdata)
列 等量 個 ビニング する	pd.qcut(ds, n)
データ フレーム 各 列 毎 グループ 化 し 文字 列 グループ 個数 求める	df.groupby(column).size()[s]
データ フレーム 値 正規 表現 変更 する	df.replace(pattern, repl, regex=True)
ガンマ 関数 値	math.gamma(x)
折れ線 グラフ 色 シャルトリューズ 指定 する	plt.plot(データ列, データ列2, color='chartreuse')
シーケンス イミュータブル な セット	frozenset(iterable)
オプション エン コーディング 設定 する	encoding = 'shift_jis'
データ フレーム 列 集計 し 分散 求める	df.groupby(column).var()
線 グラフ 描画 し その 色 スラグレー 設定 する	plt.plot(データ列, データ列2, color='slategrey')
文字 列 空白 文字	s.isspace()
文字 列 太 文字 プリント できる 文字 列 する	f'\033[1m{value}\033[0m'
配列 次元 行 変形 する	aArray.reshape(1, -1)
折れ線 グラフ 描画 し その 色 ライトグリーン 設定 する	plt.plot(データ列, データ列2, color='lightgreen')
オプション スチール ブルー 色 使う	color = 'steelblue'
パステル 調 色 マーカー 散布 図 描画 する	plt.plot(xdata, ydata, c='pastel')
オプション ダーク カーキ 色 使用 する	color = 'darkkhaki'
折れ線 グラフ 色 グレー 設定 する	plt.plot(データ列, データ列2, color='grey')
こんにちは 世界 出力 する	print('Hello World')
小さい	n < n2
データ 列 リスト 散布 図 描画 し ダイアモンドマーカー 色 カラー コード 変更 する	plt.plot(xdata, ydata, marker='D', c=rgb)
日付 データ 週間 分 減算 する	aDate - datetime.timedelta(weeks=n)
集合 別 集合 要素 全て 取り除く	aSet.difference_update(aSet2)
データ 列 未 入力 値 直後 値 指定 する	ds.fillna(method='bfill')
日付 データ 日 分 加算 する	aDate + datetime.timedelta(days=n)
カウンタ 値 増やす	aCounter[element] += 1
棒グラフ 積み上げ する	"plt.bar(ラベル列, データ列, bottom=データ列2, color=""red"")"
項目 名 マップ 存在 し ない 時 要素 追加 する	aDict.setdefault(key, element)
アリス ブルー ヒストグラム 色 する	plt.hist(データ列, color='aliceblue')
散布 図 赤い 大 バツ マーカー 描く	plt.plot(xdata, ydata, marker='X', c='r')
変数 名 キー 辞書	dict(name=element)
線 グラフ 描画 し 色 コーンズシルク 変更 する	plt.plot(データ列, データ列2, color='cornsilk')
マップ 内部 複製 する	{k: copy.copy(v) for k, v in aDict.items()}
データ フレーム リスト 列 相関 行列	df[aList].corr()
データ フレーム 欠損 値 後 行 値 変更 する	df.fillna(method='bfill')
データ フレーム 列 文字 列 含ま れる 行 取り出す	df[df[column].str.contains(s)]
データ フレーム 各 列 列 組み合わせ 毎 グループ 化 し 最大 値 算出 する	df.groupby([column, column2], as_index=False).max()
折れ線 グラフ 下 三角 マーカー 緑色 する	plt.plot(データ列, データ列2, marker='v', markerfacecolor='g')
小数点 数 自然 対数	math.log(x)
オブジェクト イテレータ	iter(obj)
クラス 名前 付き タプル 調べる	issubclass(C, tuple)
スピアマン 相関 係数 データ フレーム 相関 行列	df.corr(method='spearman')
折れ線 グラフ 色 ホット ピンク 設定 する	plt.plot(データ列, データ列2, color='hotpink')
二つ 列 値 データ フレーム グループ 化 し 列挙 する	[(name, group) for name, group in df.groupby(['A', 'B'])]
ヒストグラム 区間 描画 する	plt.hist(データ列, range=(start, end))
ファイル バイナリ モード オープン する	open(filepath, mode='rb')
オプション グラフ 色 ミント クリーム 設定 する	color = 'mintcream'
データ フレーム 列 欠損 値 最 頻 値 埋める	df[col].fillna(df[col].mode().iloc[0])
リスト 番目 文字 列 挿入 する	aList.insert(n, element)
文字 列 先頭 空白 取り除く	s.lstrip()
列 キー し 二つ データ フレーム 内部 結合 する	pd.merge(df, df2, on=column, how='inner')
オプション 菱形 マーカー 描画 する	marker = 'D'
線 グラフ 描画 し 色 ライトゴールドロディイエロー 変更 する	plt.plot(データ列, データ列2, color='lightgoldenrodyellow')
列 集合 追加 する	aSet.update(iterable)
文字 列 色 リスト リスト 折れ線 グラフ プロット する	plt.plot(xdata, ydata, color=s)
オプション グラフ 色 暗い 赤 指定 する	color = 'darkred'
ヒストグラム 実線 用い 描画 する	plt.hist(データ列, linestyle='solid')
オプション ロージーブラウン グラフ 色 設定 する	color = 'rosybrown'
折れ線 グラフ バツ マーカー 黄色く する	plt.plot(データ列, データ列2, marker='x', markerfacecolor='y')
二つ データ フレーム 異なる 列 キー 左 結合 する	pd.merge(df, df2, left_on=column, right_on=column2, how='left')
データ フレーム 位 丸め 整数 する	df.round(-3).astype(int)
マップ 項目 名 列挙 する	aDict.keys()
リスト リスト 散布 図 右 三 角 マーカー 描画 する	plt.plot(xdata, ydata, marker='>')
フローラルホワイト ヒストグラム 色 設定 する	plt.hist(データ列, color='floralwhite')
